# Generated by v8/mk/mkdep.py -- do not edit.
#
# Every command on the shipped V8 image, and where ours comes
# from. builddisk.sh reads this: `build' is taken from DESTDIR,
# `copy' is lifted off the golden image.
#
# A `copy' row is not a defect. Bell Labs shipped binaries whose
# sources are not on the tape -- all 34 games among them -- and
# this build cannot conjure them. The last column says what can:
# V10 has an ANSI C compiler (cmd/lcc) for the two /bin/cc
# rejects, and most games exist in the BSD sources V11 work will
# bring in.
#
#	build 206	copy 175	of 381
#
#name	dir	from	why	fixed by
cunumber	/usr/lib	copy	no source in the tape	V10, or V11/BSD
cut	/usr/bin	build	-	-
cyntax	/usr/bin	copy	no .c files	this build
dag	/usr/lib	copy	no source in the tape	V10, or V11/BSD
date	/bin	build	-	-
dc	/usr/bin	build	-	-
dcheck	/etc	build	-	-
dd	/bin	build	-	-
decrypt	/usr/bin	copy	no source in the tape	V10, or V11/BSD
deroff	/usr/bin	build	-	-
df	/bin	build	-	-
diff	/bin	build	-	-
diff3	/usr/bin	build	-	-
diffh	/usr/lib	build	-	-
dired	/usr/bin	build	-	-
dirname	/usr/bin	copy	no source in the tape	V10, or V11/BSD
dmesg	/etc	build	-	-
doctype	/usr/bin	copy	no source in the tape	V10, or V11/BSD
dskcpy	/etc	build	-	-
du	/bin	build	-	-
e	/bin	copy	no source in the tape	V10, or V11/BSD
echo	/bin	build	-	-
ed	/bin	build	-	-
edit	/usr/bin	copy	no source in the tape	V10, or V11/BSD
efl	/usr/bin	copy	yacc/lex (lex.l) -- needs gen rules, like config	this build
egrep	/usr/bin	build	-	-
eign	/usr/lib	copy	no source in the tape	V10, or V11/BSD
encrypt	/usr/bin	copy	no source in the tape	V10, or V11/BSD
eqn	/usr/bin	build	-	-
ex	/usr/bin	copy	3 programs in one directory (ex expreserve exrecover) -- needs the makefile's own object split	this build
ex3.7preserve	/usr/lib	copy	no source in the tape	V10, or V11/BSD
ex3.7recover	/usr/lib	copy	no source in the tape	V10, or V11/BSD
expand	/usr/bin	build	-	-
expr	/usr/bin	build	-	-
f1	/lib	copy	no source in the tape	V10, or V11/BSD
f77	/usr/bin	copy	includes a header the tape does not ship: tokdefs (from lex.c)	this build
f77pass1	/usr/lib	copy	no source in the tape	V10, or V11/BSD
factor	/usr/bin	build	-	-
false	/bin	build	-	-
festoon	/usr/games	copy	no source in the tape	V11/BSD
fgrep	/usr/bin	build	-	-
file	/usr/bin	build	-	-
find	/usr/bin	build	-	-
finddev	/etc	build	-	-
fish	/usr/games	copy	no source in the tape	V11/BSD
flip	/usr/lib	copy	no source in the tape	V10, or V11/BSD
fmt	/usr/bin	build	-	-
fold	/usr/bin	build	-	-
font	/usr/lib	copy	no source in the tape	V10, or V11/BSD
fortune	/usr/games	copy	no source in the tape	V11/BSD
fsck	/etc	build	-	-
fsplit	/usr/bin	build	-	-
fstab	/etc	copy	no source in the tape	V10, or V11/BSD
getopt	/usr/bin	build	-	-
getty	/etc	build	-	-
getuid	/usr/bin	build	-	-
grap	/usr/bin	build	-	-
grap.202	/usr/lib	copy	no source in the tape	V10, or V11/BSD
grap.defines	/usr/lib	copy	no source in the tape	V10, or V11/BSD
graph	/usr/bin	build	-	-
grep	/bin	build	-	-
group	/etc	build	-	-
hack	/usr/games	copy	no source in the tape	V11/BSD
halt	/etc	build	-	-
hang	/usr/bin	build	-	-
hangman	/usr/games	copy	no source in the tape	V11/BSD
hanoi	/usr/games	copy	no source in the tape	V11/BSD
hoc	/usr/bin	build	-	-
hosts	/etc	copy	no source in the tape	V10, or V11/BSD
hosts.equiv	/etc	copy	no source in the tape	V10, or V11/BSD
hpplot	/usr/bin	copy	no source in the tape	V10, or V11/BSD
icheck	/etc	build	-	-
id	/usr/bin	build	-	-
ideal	/usr/bin	copy	yacc/lex (idlex.l idyac.y) -- needs gen rules, like config	this build
idiff	/usr/bin	build	-	-
init	/etc	build	-	-
inspkg	/usr/bin	copy	no source in the tape	V10, or V11/BSD
iostat	/bin	build	-	-
join	/usr/bin	build	-	-
kdiload	/etc	copy	no source in the tape	V10, or V11/BSD
kill	/bin	build	-	-
last	/usr/bin	build	-	-
lcomp	/usr/bin	copy	2 programs in one directory (bb lprint) -- needs the makefile's own object split	this build
ld	/bin	build	-	-
ldpcs	/etc	copy	no source in the tape	V10, or V11/BSD
lex	/usr/bin	build	-	-
lint	/usr/bin	copy	yacc/lex (invoked by its makefile) -- needs gen rules, like config	this build
ln	/bin	build	-	-
load	/usr/bin	build	-	-
login	/etc	build	-	-
look	/usr/bin	build	-	-
lorder	/usr/bin	copy	no source in the tape	V10, or V11/BSD
lpfx	/usr/lib	copy	no source in the tape	V10, or V11/BSD
lprint	/usr/bin	copy	no source in the tape	V10, or V11/BSD
ls	/bin	build	-	-
m4	/usr/bin	build	-	-
macros	/usr/lib	copy	no source in the tape	V10, or V11/BSD
mail	/bin	build	-	-
make	/bin	build	-	-
makekey	/usr/lib	build	-	-
man	/usr/bin	build	-	-
map	/usr/bin	copy	links libmap.a, built inside the component	this build
mc	/usr/bin	build	-	-
mesg	/usr/bin	build	-	-
mille	/usr/games	copy	no source in the tape	V11/BSD
mkbitfs	/etc	build	-	-
mkdir	/bin	build	-	-
mkfs	/etc	build	-	-
mklost+found	/etc	copy	no source in the tape	V10, or V11/BSD
mknod	/etc	build	-	-
mkpkg	/usr/bin	copy	no source in the tape	V10, or V11/BSD
mkstr	/usr/bin	build	-	-
monk	/usr/bin	copy	no .c files	this build
monksample	/usr/bin	copy	no source in the tape	V10, or V11/BSD
more	/usr/bin	copy	no source in the tape	V10, or V11/BSD
motd	/etc	copy	no source in the tape	V10, or V11/BSD
mount	/etc	build	-	-
mt	/bin	build	-	-
mtab	/etc	copy	no source in the tape	V10, or V11/BSD
munch	/usr/bin	copy	no source in the tape	V10, or V11/BSD
mv	/bin	build	-	-
ncheck	/etc	build	-	-
neqn	/usr/bin	copy	yacc/lex (e.y) -- needs gen rules, like config	this build
netfsbug	/usr/bin	build	-	-
networks	/etc	copy	no source in the tape	V10, or V11/BSD
newer	/usr/bin	build	-	-
newgrp	/bin	build	-	-
news	/usr/bin	build	-	-
nice	/bin	build	-	-
nm	/bin	build	-	-
nmf	/usr/lib	copy	no source in the tape	V10, or V11/BSD
nohup	/bin	copy	no source in the tape	V10, or V11/BSD
nroff	/usr/bin	copy	no source in the tape	V10, or V11/BSD
number	/usr/bin	build	-	-
od	/bin	build	-	-
ogre	/usr/games	copy	no source in the tape	V11/BSD
oops	/bin	build	-	-
p	/usr/bin	copy	includes a header the tape does not ship: /usr/jerq/include/jioctl.h (from p.c)	this build
pack	/usr/bin	build	-	-
passwd	/bin	build	-	-
paste	/usr/bin	build	-	-
pcat	/usr/bin	build	-	-
pcs750.bin	/etc	copy	no source in the tape	V10, or V11/BSD
pg	/usr/bin	copy	no source in the tape	V10, or V11/BSD
pic	/usr/bin	build	-	-
pick	/usr/bin	copy	no source in the tape	V10, or V11/BSD
plot	/usr/bin	copy	links l2621.a, built inside the component	this build
pp	/usr/bin	build	-	-
ppt	/usr/games	copy	no source in the tape	V11/BSD
pr	/bin	build	-	-
primes	/usr/bin	build	-	-
printenv	/usr/bin	build	-	-
procctl	/etc	copy	no source in the tape	V10, or V11/BSD
procctl.local	/etc	copy	no source in the tape	V10, or V11/BSD
procmount	/etc	build	-	-
procuid	/etc	copy	no source in the tape	V10, or V11/BSD
procuid.local	/etc	copy	no source in the tape	V10, or V11/BSD
prof	/usr/bin	build	-	-
ps	/bin	build	-	-
pstat	/etc	build	-	-
ptx	/usr/bin	build	-	-
pwd	/bin	build	-	-
qed	/usr/bin	build	-	-
quiz	/usr/games	copy	no source in the tape	V11/BSD
quot	/etc	build	-	-
random	/usr/bin	build	-	-
ranlib	/usr/bin	build	-	-
rarct	/etc	build	-	-
rarepl	/etc	build	-	-
ratfor	/usr/bin	build	-	-
rc	/etc	copy	no source in the tape	V10, or V11/BSD
rcp	/usr/bin	build	-	-
readslow	/usr/bin	build	-	-
reboot	/etc	build	-	-
refer	/usr/bin	copy	7 programs in one directory (deliv1 hunt1 inv1 mkey1 refer1 what1 what4) -- needs the makefile's own object split	this build
regrid	/usr/bin	copy	no source in the tape	V10, or V11/BSD
renice	/etc	build	-	-
restor	/etc	build	-	-
rev	/usr/bin	build	-	-
revpag	/usr/bin	copy	no source in the tape	V10, or V11/BSD
rm	/bin	build	-	-
rmail	/bin	copy	no source in the tape	V10, or V11/BSD
rmdir	/bin	build	-	-
roglib	/usr/games	copy	no source in the tape	V11/BSD
rogomatic	/usr/games	copy	no source in the tape	V11/BSD
rogue	/usr/games	copy	no source in the tape	V11/BSD
rogue52	/usr/games	copy	no source in the tape	V11/BSD
rogue53	/usr/games	copy	no source in the tape	V11/BSD
sa	/etc	build	-	-
sail	/usr/games	copy	no source in the tape	V11/BSD
sail.log	/usr/games	copy	no source in the tape	V11/BSD
savecore	/etc	build	-	-
say	/usr/games	copy	no source in the tape	V11/BSD
scapegoat	/usr/games	copy	no source in the tape	V11/BSD
sdb	/usr/bin	copy	includes a header the tape does not ship: bio.h (from old.c)	this build
sdiff	/usr/bin	build	-	-
seal	/usr/bin	copy	no source in the tape	V10, or V11/BSD
sed	/usr/bin	build	-	-
seq	/usr/bin	build	-	-
services	/etc	copy	no source in the tape	V10, or V11/BSD
sh	/bin	build	-	-
ship	/usr/bin	copy	no source in the tape	V10, or V11/BSD
showq	/etc	copy	includes a header the tape does not ship: /usr/sys/h/conf.h (from showq.c), /usr/sys/h/inode.h (from showq.c), /usr/sys/h/param.h (from showq.c), /usr/sys/h/stream.h (from showq.c)	this build
shutdown	/etc	copy	no source in the tape	V10, or V11/BSD
size	/bin	build	-	-
skel	/etc	copy	no source in the tape	V10, or V11/BSD
sleep	/usr/bin	build	-	-
snake	/usr/games	copy	no source in the tape	V11/BSD
sort	/usr/bin	build	-	-
spell	/usr/bin	copy	4 programs in one directory (hashcheck hashmake spellin spellprog) -- needs the makefile's own object split	this build
spline	/usr/bin	build	-	-
split	/usr/bin	build	-	-
sread	/usr/games	copy	no source in the tape	V11/BSD
strip	/usr/bin	build	-	-
struct	/usr/bin	copy	yacc/lex (beauty.y lextab.l) -- needs gen rules, like config	this build
stty	/bin	build	-	-
style	/usr/lib	copy	yacc/lex (end.l nwords.l part.l) -- needs gen rules, like config	this build
su	/etc	build	-	-
suftab	/usr/lib	copy	no source in the tape	V10, or V11/BSD
sum	/usr/bin	build	-	-
swapon	/etc	build	-	-
sync	/bin	build	-	-
tabs	/usr/bin	build	-	-
tail	/usr/bin	build	-	-
tape	/usr/bin	build	-	-
tar	/bin	build	-	-
tbl	/usr/bin	build	-	-
tee	/usr/bin	build	-	-
tek	/usr/bin	copy	no source in the tape	V10, or V11/BSD
tel	/usr/bin	copy	no source in the tape	V10, or V11/BSD
term	/usr/lib	copy	no source in the tape	V10, or V11/BSD
termcap	/etc	copy	no source in the tape	V10, or V11/BSD
test	/bin	build	-	-
thanks	/usr/games	copy	no source in the tape	V11/BSD
tictactoe	/usr/games	copy	no source in the tape	V11/BSD
time	/bin	build	-	-
tk	/usr/bin	build	-	-
tmac	/usr/lib	copy	no source in the tape	V10, or V11/BSD
touch	/usr/bin	build	-	-
tp	/bin	build	-	-
tped	/usr/bin	copy	no source in the tape	V10, or V11/BSD
tr	/usr/bin	build	-	-
trace	/usr/bin	build	-	-
troff	/usr/bin	copy	d202.c hc.c ta.c tc.c is not C (assembly with cpp directives); needs cc -E piped to as	this build
true	/bin	copy	no source in the tape	V10, or V11/BSD
tso	/usr/games	copy	no source in the tape	V11/BSD
tsort	/usr/bin	build	-	-
tty	/usr/bin	build	-	-
ttys	/etc	copy	no source in the tape	V10, or V11/BSD
ul	/usr/bin	build	-	-
umount	/etc	build	-	-
uncompress	/usr/bin	copy	no source in the tape	V10, or V11/BSD
uniq	/usr/bin	build	-	-
units	/usr/bin	build	-	-
unpack	/usr/bin	build	-	-
unseal	/usr/bin	copy	no source in the tape	V10, or V11/BSD
upas	/usr/lib	copy	has source; not built yet	this build
update	/etc	build	-	-
uptime	/usr/bin	copy	no source in the tape	V10, or V11/BSD
utmp	/etc	copy	no source in the tape	V10, or V11/BSD
uucp	/usr/bin	copy	includes a header the tape does not ship: UNET/tcp.h (from callers.c), UNET/unetio.h (from callers.c)	this build
uudecode	/usr/bin	build	-	-
uuencode	/usr/bin	build	-	-
uulog	/usr/bin	copy	no source in the tape	V10, or V11/BSD
uuname	/usr/bin	copy	no source in the tape	V10, or V11/BSD
uupick	/usr/bin	copy	no source in the tape	V10, or V11/BSD
uustat	/usr/bin	copy	no source in the tape	V10, or V11/BSD
uuto	/usr/bin	copy	no source in the tape	V10, or V11/BSD
uux	/usr/bin	copy	no source in the tape	V10, or V11/BSD
v8	/usr/bin	build	-	-
vdata	/usr/bin	copy	no source in the tape	V10, or V11/BSD
vi	/usr/bin	copy	no source in the tape	V10, or V11/BSD
view	/usr/bin	copy	no source in the tape	V10, or V11/BSD
view2d	/usr/bin	copy	links libview2d.a num.a, built inside the component	this build
vis	/usr/bin	build	-	-
vmstat	/bin	build	-	-
w	/usr/bin	build	-	-
wall	/etc	build	-	-
wc	/usr/bin	build	-	-
where	/usr/bin	build	-	-
who	/bin	build	-	-
whoami	/etc	copy	no source in the tape	V10, or V11/BSD
whois	/usr/bin	copy	no source in the tape	V10, or V11/BSD
worm	/usr/games	copy	no source in the tape	V11/BSD
write	/bin	build	-	-
wwb	/usr/bin	copy	yacc/lex (gram.l org.l punct.l) -- needs gen rules, like config	this build
xstr	/usr/bin	build	-	-
yacc	/usr/bin	build	-	-
yaccpar	/usr/lib	copy	no source in the tape	V10, or V11/BSD
zcat	/usr/bin	copy	no source in the tape	V10, or V11/BSD
zork	/usr/games	copy	no source in the tape	V11/BSD
